age,gender,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,mental_health_rating,exercise_frequency,diet_quality,internet_quality,exam_score,academic_risk_level,recommendations
18,Male,3.2,2.2,2.8,88.1,4.8,3,5,Fair,Average,71.1,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.']"
24,Male,4.3,2.0,2.8,78.4,8.1,3,5,Good,Poor,82.8,Low Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
20,Female,2.0,3.2,3.8,82.6,6.7,10,6,Poor,Poor,75.7,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve diet quality to support better academic performance.', 'Improve internet access or use campus resources for online learning.']"
21,Female,3.7,0.6,1.3,75.6,7.5,5,2,Fair,Average,70.6,Medium Risk,['Maintain current positive study and lifestyle habits.']
17,Other,1.5,3.1,2.6,96.2,8.0,3,4,Fair,Average,51.3,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
20,Other,2.6,4.9,4.3,82.1,6.9,7,3,Good,Good,52.1,High Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.']"
18,Female,4.0,0.9,1.1,99.5,5.8,5,2,Poor,Average,70.7,Medium Risk,"['Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve diet quality to support better academic performance.']"
22,Female,1.1,2.7,0.1,100.0,7.7,4,1,Fair,Good,51.2,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
21,Female,4.2,1.7,0.0,84.2,6.5,3,1,Good,Average,72.6,Medium Risk,"['Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
20,Female,3.5,3.0,2.6,74.9,7.3,4,3,Fair,Good,70.7,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.']"
17,Male,4.3,2.5,0.0,64.1,3.9,2,0,Good,Average,59.4,High Risk,"['Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
17,Male,3.8,1.7,1.4,70.3,7.0,1,0,Poor,Good,58.1,High Risk,"['Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
19,Male,5.5,3.1,2.3,71.3,5.7,3,1,Good,Average,82.3,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
19,Female,3.7,4.7,2.0,98.8,8.5,2,6,Good,Good,69.7,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.']"
23,Female,2.9,2.3,2.3,86.2,7.2,1,6,Good,Average,66.0,Medium Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
18,Male,3.7,3.4,2.0,88.9,6.8,1,3,Fair,Poor,63.5,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
24,Female,4.3,0.9,3.2,62.8,7.1,2,0,Poor,Good,65.7,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
20,Female,3.6,1.4,0.8,73.0,5.3,9,4,Good,Poor,78.5,Medium Risk,"['Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve internet access or use campus resources for online learning.']"
20,Male,3.6,3.1,1.1,93.9,8.4,5,1,Fair,Average,75.1,Medium Risk,"['Reduce social media usage to improve focus.', 'Increase weekly physical activity for better balance.']"
24,Male,2.4,4.3,1.0,87.9,8.9,9,5,Poor,Average,71.0,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve diet quality to support better academic performance.']"
23,Female,2.5,2.9,2.7,83.5,7.0,8,4,Good,Good,59.7,High Risk,['Reduce entertainment screen time.']
22,Female,1.4,2.1,2.8,90.6,8.4,6,3,Fair,Good,52.6,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.']"
22,Female,6.1,2.5,2.3,100.0,5.8,1,5,Poor,Average,96.5,Low Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
23,Female,1.6,1.0,3.1,82.8,5.5,10,4,Fair,Good,62.0,Medium Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
22,Female,2.5,3.2,0.5,85.7,6.5,5,0,Poor,Average,59.7,High Risk,"['Reduce social media usage to improve focus.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
19,Female,2.4,3.6,3.6,86.9,7.0,1,6,Fair,Average,48.4,High Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
20,Female,4.8,2.0,3.5,100.0,6.0,7,0,Good,Good,70.6,Medium Risk,"['Reduce entertainment screen time.', 'Increase weekly physical activity for better balance.']"
23,Female,3.1,1.9,2.6,64.0,7.1,10,5,Fair,Good,68.1,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.']"
20,Male,5.4,2.8,3.8,91.8,6.9,8,2,Good,Good,87.2,Low Risk,['Reduce entertainment screen time.']
24,Male,2.5,2.0,0.0,83.9,5.3,8,6,Good,Average,66.7,Medium Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
17,Male,3.9,2.4,1.2,90.7,7.1,7,1,Good,Average,75.2,Medium Risk,['Increase weekly physical activity for better balance.']
19,Female,2.2,5.0,1.0,78.4,7.5,2,5,Poor,Average,46.4,High Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
21,Female,6.7,2.2,2.6,84.5,6.7,5,3,Good,Average,97.1,Low Risk,['Reduce entertainment screen time.']
19,Female,1.7,2.1,0.6,92.1,7.9,4,1,Fair,Average,61.2,Medium Risk,"['Increase daily study hours to at least 2-3 hours.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
23,Male,4.0,1.7,2.6,100.0,5.0,5,4,Fair,Good,75.0,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
21,Male,4.5,3.4,3.3,93.1,7.1,10,6,Good,Good,94.7,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.']"
17,Male,4.1,2.3,2.6,76.5,5.1,9,3,Fair,Average,77.6,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
23,Male,3.2,1.7,2.1,80.8,5.2,4,3,Good,Poor,68.6,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
18,Female,3.3,4.1,0.7,80.5,5.7,8,0,Poor,Good,69.6,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
20,Male,3.6,4.2,0.9,67.0,5.4,8,4,Good,Average,66.5,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
17,Male,3.3,1.8,3.2,81.7,5.8,2,0,Poor,Good,62.2,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
20,Female,4.9,0.3,2.7,92.3,6.2,6,0,Good,Poor,82.1,Low Risk,"['Reduce entertainment screen time.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
22,Male,6.8,3.7,1.8,72.3,7.5,5,6,Poor,Average,100.0,Low Risk,"['Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Improve diet quality to support better academic performance.']"
18,Female,2.7,1.7,1.3,95.5,6.1,2,2,Poor,Good,59.7,High Risk,"['Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
18,Female,1.4,3.4,0.0,89.9,4.6,10,0,Fair,Poor,55.1,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
17,Male,3.4,0.1,0.6,77.7,7.9,4,1,Fair,Average,77.1,Medium Risk,"['Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
18,Female,7.4,3.6,3.9,83.6,5.5,7,3,Fair,Average,97.7,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
21,Female,2.3,1.0,0.4,100.0,6.4,1,6,Fair,Good,66.9,Medium Risk,['Focus on mental well-being and seek support if needed.']
18,Female,6.0,3.4,2.0,92.3,7.0,9,0,Fair,Good,99.9,Low Risk,"['Reduce social media usage to improve focus.', 'Increase weekly physical activity for better balance.']"
20,Male,6.0,2.5,2.9,85.1,6.7,10,5,Poor,Average,100.0,Low Risk,"['Reduce entertainment screen time.', 'Improve diet quality to support better academic performance.']"
20,Female,2.7,1.4,0.4,82.6,7.8,1,1,Fair,Poor,57.2,High Risk,"['Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
23,Female,4.4,2.0,2.0,85.8,7.1,5,4,Good,Good,77.3,Medium Risk,['Maintain current positive study and lifestyle habits.']
20,Male,5.9,3.3,2.8,79.9,5.5,7,3,Good,Average,91.6,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
23,Male,2.9,2.6,1.8,64.0,9.1,8,6,Good,Good,70.7,Medium Risk,['Improve class attendance to at least 80%.']
20,Other,3.2,3.2,5.0,100.0,6.7,2,5,Good,Poor,57.6,High Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
21,Female,2.6,4.9,0.0,86.6,6.3,4,6,Fair,Poor,60.2,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
24,Male,2.0,0.6,3.0,89.0,7.7,2,6,Poor,Good,50.5,High Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
23,Female,2.5,4.4,1.6,84.4,6.8,4,5,Fair,Average,51.3,High Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.']"
19,Male,1.7,2.6,2.6,77.6,7.0,6,4,Good,Good,53.5,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.']"
22,Male,3.6,1.4,2.3,83.1,9.5,6,5,Good,Poor,79.2,Medium Risk,"['Reduce entertainment screen time.', 'Improve internet access or use campus resources for online learning.']"
17,Male,2.3,0.9,1.0,69.0,6.2,2,1,Fair,Average,47.2,High Risk,"['Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
20,Male,3.9,2.3,2.1,100.0,6.1,4,6,Poor,Good,73.4,Medium Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
18,Male,1.2,3.6,0.0,72.7,6.6,4,4,Poor,Average,41.1,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
24,Male,4.0,2.3,2.5,74.7,7.8,1,6,Fair,Good,77.8,Medium Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.']"
20,Female,4.8,4.3,2.1,80.6,4.7,2,5,Fair,Average,63.4,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.']"
18,Male,0.5,0.8,2.5,97.9,4.1,3,4,Poor,Good,43.9,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
22,Male,4.1,2.5,3.0,85.1,5.8,5,4,Good,Good,70.2,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
22,Female,5.3,1.0,2.2,72.6,4.5,8,0,Fair,Average,81.3,Low Risk,"['Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.']"
22,Male,1.7,2.9,2.0,97.5,6.0,6,0,Good,Good,50.2,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Increase weekly physical activity for better balance.']"
18,Female,6.0,3.6,0.8,92.3,7.1,3,0,Good,Good,87.9,Low Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
20,Male,4.1,2.0,1.0,90.4,5.4,6,5,Good,Average,80.9,Low Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
22,Male,2.4,0.0,3.1,92.2,4.8,7,3,Good,Good,63.9,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
21,Male,3.4,2.7,3.4,100.0,6.6,6,1,Good,Good,65.6,Medium Risk,"['Reduce entertainment screen time.', 'Increase weekly physical activity for better balance.']"
23,Male,4.3,3.0,1.5,100.0,7.5,10,5,Good,Average,93.2,Low Risk,['Maintain current positive study and lifestyle habits.']
18,Male,3.6,3.0,1.9,78.1,4.5,6,6,Good,Average,74.0,Medium Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
18,Male,4.3,4.0,0.8,100.0,7.5,1,0,Fair,Average,60.8,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
20,Male,2.1,1.2,3.1,88.8,7.5,3,4,Good,Average,50.4,High Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
18,Male,3.8,3.3,2.5,90.0,7.6,7,5,Good,Good,74.3,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.']"
18,Male,1.4,3.9,3.9,68.1,8.0,4,4,Good,Average,32.8,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.']"
22,Male,3.3,0.4,0.8,83.3,9.1,4,6,Good,Good,82.3,Low Risk,['Focus on mental well-being and seek support if needed.']
20,Male,2.1,2.9,1.4,76.9,6.1,7,4,Fair,Average,60.4,Medium Risk,['Maintain current positive study and lifestyle habits.']
22,Female,2.4,1.9,2.1,93.3,6.6,9,4,Poor,Average,60.0,Medium Risk,"['Reduce entertainment screen time.', 'Improve diet quality to support better academic performance.']"
23,Female,5.4,2.4,2.5,95.7,6.0,2,2,Fair,Good,77.5,Medium Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.']"
24,Male,5.1,2.9,1.6,64.3,6.5,9,3,Fair,Average,86.5,Low Risk,['Improve class attendance to at least 80%.']
23,Female,4.4,1.9,0.8,84.8,8.3,3,1,Good,Average,76.9,Medium Risk,"['Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
24,Female,1.9,1.7,2.8,96.2,4.9,6,1,Fair,Poor,43.9,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Increase weekly physical activity for better balance.', 'Improve internet access or use campus resources for online learning.']"
22,Male,3.0,2.5,2.6,83.1,5.5,4,0,Fair,Average,51.3,High Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
23,Female,5.3,1.2,0.8,92.3,8.2,1,2,Fair,Average,83.3,Low Risk,['Focus on mental well-being and seek support if needed.']
20,Female,3.7,1.2,3.3,88.5,7.7,9,5,Poor,Good,82.7,Low Risk,"['Reduce entertainment screen time.', 'Improve diet quality to support better academic performance.']"
17,Male,7.0,3.3,3.1,88.4,6.1,6,5,Good,Average,94.8,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.']"
22,Male,4.1,1.1,1.9,82.3,7.5,8,1,Good,Good,80.8,Low Risk,['Increase weekly physical activity for better balance.']
24,Female,3.8,3.3,1.9,72.8,6.9,2,3,Poor,Good,58.3,High Risk,"['Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
21,Female,3.0,3.1,2.4,73.8,8.3,7,4,Fair,Average,66.3,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve class attendance to at least 80%.']"
24,Male,3.7,0.4,0.9,92.1,6.6,6,6,Fair,Average,87.9,Low Risk,['Maintain current positive study and lifestyle habits.']
21,Male,3.3,1.7,1.8,85.2,7.7,2,0,Poor,Good,60.5,Medium Risk,"['Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.']"
18,Male,4.6,3.9,0.0,83.6,9.7,2,3,Poor,Good,84.8,Low Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Improve diet quality to support better academic performance.']"
23,Female,4.9,1.3,2.8,80.8,7.2,4,1,Good,Average,77.0,Medium Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
21,Female,2.3,1.9,0.1,81.9,6.6,4,2,Fair,Average,61.7,Medium Risk,['Focus on mental well-being and seek support if needed.']
24,Male,1.5,3.1,3.5,95.5,7.4,3,0,Fair,Average,44.0,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
18,Male,0.7,3.4,1.4,81.6,6.1,8,1,Poor,Poor,42.4,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Increase weekly physical activity for better balance.', 'Improve diet quality to support better academic performance.', 'Improve internet access or use campus resources for online learning.']"
17,Female,4.3,2.2,1.6,71.6,9.4,7,5,Good,Good,88.0,Low Risk,['Improve class attendance to at least 80%.']
20,Male,1.8,1.8,1.1,92.4,6.7,2,0,Good,Good,48.7,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
20,Male,0.3,4.2,1.5,83.0,6.2,3,1,Good,Average,26.8,High Risk,"['Increase daily study hours to at least 2-3 hours.', 'Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
20,Female,4.1,4.6,3.4,85.3,5.5,10,5,Poor,Good,81.6,Low Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve diet quality to support better academic performance.']"
21,Female,7.2,3.7,0.0,100.0,7.8,9,6,Good,Good,100.0,Low Risk,['Reduce social media usage to improve focus.']
17,Female,3.5,2.6,3.2,84.8,7.5,5,5,Fair,Average,74.0,Medium Risk,['Reduce entertainment screen time.']
21,Female,4.8,1.5,2.2,87.9,5.9,2,4,Fair,Poor,78.4,Medium Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
23,Male,3.6,1.5,0.5,73.2,7.2,3,2,Fair,Good,70.7,Medium Risk,"['Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.']"
21,Male,3.4,3.1,0.6,82.8,4.7,8,4,Fair,Good,74.3,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
17,Female,4.9,3.0,3.6,91.1,6.7,4,1,Good,Good,67.6,Medium Risk,"['Reduce entertainment screen time.', 'Focus on mental well-being and seek support if needed.', 'Increase weekly physical activity for better balance.']"
17,Male,3.1,4.2,0.8,69.4,7.0,2,6,Good,Poor,64.7,Medium Risk,"['Reduce social media usage to improve focus.', 'Improve class attendance to at least 80%.', 'Focus on mental well-being and seek support if needed.', 'Improve internet access or use campus resources for online learning.']"
23,Male,3.9,3.3,0.5,87.0,8.5,2,3,Fair,Average,64.1,Medium Risk,"['Reduce social media usage to improve focus.', 'Focus on mental well-being and seek support if needed.']"
17,Male,4.0,0.7,3.1,86.0,5.6,6,6,Good,Poor,83.5,Low Risk,"['Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.', 'Improve internet access or use campus resources for online learning.']"
24,Male,2.5,3.8,2.2,85.4,5.0,8,6,Good,Good,63.4,Medium Risk,"['Reduce social media usage to improve focus.', 'Reduce entertainment screen time.', 'Improve sleep routine and aim for 7-8 hours of sleep.']"
17,Male,5.0,1.3,0.8,95.4,5.4,7,6,Good,Good,96.2,Low Risk,['Improve sleep routine and aim for 7-8 hours of sleep.']
